date,TCI,TCI_lead1,HSS_t1_q75,split_flag
2022-11-04,17.587157315076837,17.576235287976637,0,train
2022-11-07,17.576235287976637,17.474465770387816,0,train
2022-11-08,17.474465770387816,17.482676724771817,0,train
2022-11-09,17.482676724771817,17.780804879010873,0,train
2022-11-10,17.780804879010873,17.691712516413297,0,train
2022-11-14,17.691712516413297,17.69639902596952,0,train
2022-11-15,17.69639902596952,17.71123258895937,0,train
2022-11-16,17.71123258895937,17.66994170342594,0,train
2022-11-17,17.66994170342594,17.633173326850425,0,train
2022-11-18,17.633173326850425,17.63068560099996,0,train
2022-11-21,17.63068560099996,17.624323854498204,0,train
2022-11-22,17.624323854498204,17.600459863425534,0,train
2022-11-23,17.600459863425534,17.552721915872148,0,train
2022-11-28,17.552721915872148,17.544533868659165,0,train
2022-11-29,17.544533868659165,17.66360745327753,0,train
2022-11-30,17.66360745327753,17.64597874500535,0,train
2022-12-01,17.64597874500535,17.547313920443855,0,train
2022-12-02,17.547313920443855,17.50127087132086,0,train
2022-12-05,17.50127087132086,17.470615473378594,0,train
2022-12-06,17.470615473378594,17.45324883336132,0,train
2022-12-07,17.45324883336132,17.46345582729525,0,train
2022-12-08,17.46345582729525,17.47019435098999,0,train
2022-12-09,17.47019435098999,17.522478090515627,0,train
2022-12-12,17.522478090515627,17.571683585639654,0,train
2022-12-13,17.571683585639654,17.5623614694825,0,train
2022-12-14,17.5623614694825,17.57533095483231,0,train
2022-12-15,17.57533095483231,17.59251601059576,0,train
2022-12-16,17.59251601059576,17.59356700401368,0,train
2022-12-19,17.59356700401368,17.59584138634239,0,train
2022-12-20,17.59584138634239,17.628269079298864,0,train
2022-12-21,17.628269079298864,17.59161852798757,0,train
2022-12-22,17.59161852798757,17.535333145103284,0,train
2022-12-27,17.535333145103284,17.51519022041519,0,train
2022-12-28,17.51519022041519,17.50840126178117,0,train
2022-12-29,17.50840126178117,17.524190941588444,0,train
2022-12-30,17.524190941588444,17.52050494021851,0,train
2023-01-03,17.52050494021851,17.47242088254528,0,train
2023-01-04,17.47242088254528,17.47340655670769,0,train
2023-01-05,17.47340655670769,17.455871884675357,0,train
2023-01-06,17.455871884675357,17.467654271915535,0,train
2023-01-09,17.467654271915535,17.412871297086138,0,train
2023-01-10,17.412871297086138,17.443221048847146,0,train
2023-01-11,17.443221048847146,17.444637345957183,0,train
2023-01-12,17.444637345957183,17.42022388042792,0,train
2023-01-13,17.42022388042792,17.402626418233513,0,train
2023-01-17,17.402626418233513,17.398252280506586,0,train
2023-01-18,17.398252280506586,17.391698944639167,0,train
2023-01-19,17.391698944639167,17.368395987255937,0,train
2023-01-20,17.368395987255937,17.34827320037016,0,train
2023-01-23,17.34827320037016,17.343833190325967,0,train
2023-01-24,17.343833190325967,17.33697107068486,0,train
2023-01-25,17.33697107068486,17.355066755134896,0,train
2023-01-26,17.355066755134896,17.32152303038147,0,train
2023-01-27,17.32152303038147,17.403621800553267,0,train
2023-01-30,17.403621800553267,17.39322639017168,0,train
2023-01-31,17.39322639017168,17.427418452144927,0,train
2023-02-01,17.427418452144927,17.393916013476677,0,train
2023-02-02,17.393916013476677,17.473468449826676,0,train
2023-02-03,17.473468449826676,17.473048809360655,0,train
2023-02-06,17.473048809360655,17.43953710305092,0,train
2023-02-07,17.43953710305092,17.426263235029047,0,train
2023-02-08,17.426263235029047,17.412727753492266,0,train
2023-02-09,17.412727753492266,17.386832893404534,0,train
2023-02-10,17.386832893404534,17.376905294735945,0,train
2023-02-13,17.376905294735945,17.375684566407614,0,train
2023-02-14,17.375684566407614,17.360231925126925,0,train
2023-02-15,17.360231925126925,17.364990945282624,0,train
2023-02-16,17.364990945282624,17.38804718217303,0,train
2023-02-17,17.38804718217303,17.375904225044625,0,train
2023-02-21,17.375904225044625,17.37484808749654,0,train
2023-02-22,17.37484808749654,17.385395925030565,0,train
2023-02-23,17.385395925030565,17.378285615346023,0,train
2023-02-24,17.378285615346023,17.366734302620436,0,train
2023-02-27,17.366734302620436,17.347014755489084,0,train
2023-02-28,17.347014755489084,17.320456448874847,0,train
2023-03-01,17.320456448874847,17.313605456140394,0,train
2023-03-02,17.313605456140394,17.317902323065834,0,train
2023-03-03,17.317902323065834,17.288474327963854,0,train
2023-03-06,17.288474327963854,17.308202834279605,0,train
2023-03-07,17.308202834279605,17.30300238615746,0,train
2023-03-08,17.30300238615746,17.290695683299575,0,train
2023-03-09,17.290695683299575,17.298820077135954,0,train
2023-03-10,17.298820077135954,17.305502755987444,0,train
2023-03-13,17.305502755987444,17.266275272760456,0,train
2023-03-14,17.266275272760456,17.3288616019859,0,train
2023-03-15,17.3288616019859,17.271254233750177,0,train
2023-03-16,17.271254233750177,17.32892443667433,0,train
2023-03-17,17.32892443667433,17.32818519106335,0,train
2023-03-20,17.32818519106335,17.28447044635041,0,train
2023-03-21,17.28447044635041,17.282722735029278,0,train
2023-03-22,17.282722735029278,17.270435171643403,0,train
2023-03-23,17.270435171643403,17.249612770371613,0,train
2023-03-24,17.249612770371613,17.209650245730266,0,train
2023-03-27,17.209650245730266,17.19450181180614,0,train
2023-03-28,17.19450181180614,17.20052141960616,0,train
2023-03-29,17.20052141960616,17.206132332107714,0,train
2023-03-30,17.206132332107714,17.24431965862022,0,train
2023-03-31,17.24431965862022,17.369127077002624,0,train
2023-04-03,17.369127077002624,17.312209141681155,0,train
2023-04-04,17.312209141681155,17.29484036972965,0,train
2023-04-05,17.29484036972965,17.27849193478711,0,train
