"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2022","237.70","238.00","238.00","238.00","0.04K","0.61%"
"02/24/2022","239.50","239.00","239.25","239.00","0.01K","0.76%"
"02/25/2022","238.60","239.00","239.00","239.00","0.00K","-0.38%"
"02/28/2022","274.50","262.50","286.00","262.50","0.14K","15.05%"
"03/01/2022","313.00","299.00","301.00","299.00","0.12K","14.03%"
"03/02/2022","440.00","400.00","400.00","400.00","0.08K","40.58%"
"03/03/2022","370.00","370.00","370.00","370.00","0.09K","-15.91%"
"03/04/2022","418.75","400.00","435.00","400.00","0.06K","13.18%"
"03/07/2022","422.65","422.65","422.65","422.65","","0.93%"
"03/08/2022","423.15","415.00","415.00","405.00","0.03K","0.12%"
"03/09/2022","420.65","425.00","425.00","415.00","0.07K","-0.59%"
"03/10/2022","373.35","380.00","380.00","380.00","0.36K","-11.24%"
"03/11/2022","368.65","368.00","376.00","366.00","0.12K","-1.26%"
"03/14/2022","361.75","361.75","361.75","361.75","0.04K","-1.87%"
"03/15/2022","346.00","361.50","361.50","361.50","0.03K","-4.35%"
"03/16/2022","340.00","351.00","351.00","340.00","0.04K","-1.73%"
"03/17/2022","337.25","337.25","337.25","337.25","0.01K","-0.81%"
"03/18/2022","336.00","335.00","335.00","334.50","0.03K","-0.37%"
"03/21/2022","329.40","329.40","329.40","329.40","","-1.96%"
"03/22/2022","328.90","330.00","330.00","330.00","0.01K","-0.15%"
"03/23/2022","325.35","325.00","325.00","325.00","0.01K","-1.08%"
"03/24/2022","326.65","326.65","326.65","326.65","","0.40%"
"03/25/2022","327.15","327.15","327.15","327.15","","0.15%"
"03/28/2022","259.75","261.00","261.00","261.00","0.04K","-20.60%"
"03/29/2022","253.40","258.00","258.00","258.00","0.18K","-2.44%"
"03/30/2022","260.00","261.00","261.00","259.00","0.02K","2.60%"
"03/31/2022","259.00","261.00","264.00","261.00","0.01K","-0.38%"
"04/01/2022","258.75","258.75","258.75","258.75","0.05K","-0.10%"
"04/04/2022","264.00","264.00","264.00","264.00","0.01K","2.03%"
"04/05/2022","281.00","281.00","281.00","281.00","0.07K","6.44%"
"04/06/2022","286.50","286.50","286.50","286.50","0.06K","1.96%"
"04/07/2022","281.65","296.00","296.00","285.00","0.10K","-1.69%"
"04/08/2022","291.60","291.60","291.60","291.60","0.04K","3.53%"
"04/11/2022","290.65","292.00","292.00","292.00","0.04K","-0.33%"
"04/12/2022","309.10","300.00","303.50","300.00","0.06K","6.35%"
"04/13/2022","312.00","312.00","312.00","312.00","0.04K","0.94%"
"04/14/2022","309.10","314.00","314.00","314.00","0.01K","-0.93%"
"04/18/2022","309.10","309.10","309.10","309.10","","0.00%"
"04/19/2022","321.00","321.00","321.00","321.00","0.03K","3.85%"
"04/20/2022","326.35","326.35","326.35","326.35","0.01K","1.67%"
"04/21/2022","331.10","333.00","333.00","331.00","0.04K","1.46%"
"04/22/2022","327.10","326.00","326.00","326.00","0.01K","-1.21%"
"04/25/2022","328.60","328.50","328.50","328.50","0.05K","0.46%"
"04/26/2022","325.00","325.00","325.00","325.00","0.04K","-1.10%"
"04/27/2022","326.05","326.05","326.05","326.05","","0.32%"
"04/28/2022","326.95","326.05","326.05","326.05","0.01K","0.28%"
"04/29/2022","326.60","326.30","326.30","326.30","0.01K","-0.11%"
"05/02/2022","299.80","299.80","299.80","299.80","","-8.21%"
"05/03/2022","326.60","325.00","325.00","325.00","0.08K","8.94%"
"05/04/2022","360.35","355.00","355.00","355.00","0.10K","10.33%"
"05/05/2022","374.35","374.35","374.35","374.35","0.04K","3.89%"
"05/06/2022","379.50","379.50","379.50","379.50","0.02K","1.38%"
"05/09/2022","377.00","378.00","379.50","374.00","0.04K","-0.66%"
"05/10/2022","377.45","377.50","377.50","377.50","0.07K","0.12%"
"05/11/2022","385.85","385.00","385.00","385.00","0.03K","2.23%"
"05/12/2022","391.50","391.50","391.50","391.50","0.01K","1.46%"
"05/13/2022","392.85","393.00","393.00","393.00","0.03K","0.34%"
"05/16/2022","402.50","402.50","402.50","402.50","","2.46%"
"05/17/2022","413.65","414.00","414.00","414.00","0.02K","2.77%"
"05/18/2022","412.00","416.00","419.25","412.00","0.15K","-0.40%"
